Instrument in Sequence;1 - B2901A - USB0::0x0957::0x8B18::MY51144612::0::INSTR;;;;;
Instrument in Sequence;2 - 34420A - GPIB0::22::INSTR;;;;;
Start Time;2022-05-16 21:29:29.902;;;;;
Stop Time;2022-05-16 21:29:29.902;;;;;
;;;;;;
Time;Step;1 - Set CH1 On/Off;1 - Set CH1 Voltage Limit;1 - Set CH1 Current Limit;2 - Get Measurement Value (VDC);1 - Set CH1 On/Off
2022-05-16 21:29:29.965;1;1;;;;
2022-05-16 21:29:29.993;2;;0,12;;;
2022-05-16 21:29:30.023;3;;;0,1;;
2022-05-16 21:29:39.506;4;;;;8,36654E-06;
